,F1,AUROC,precision,recall
ARMD,0,0.79083294,0.13097304,0
ASR,0,0.8886076,0.11645351,0
BRVO,0,0.8997067,0.3569151,0
CNV,0,0.9305112,0.32543093,0
CRS,0,0.96708465,0.091836736,0
CRVO,0,0.90582347,0.29819056,0
CSR,0,0.87539685,0.17939222,0
DN,0,0.6320132,0.16047756,0
DR,0.5,0.9024154,0.68855745,0.7111111
HTR,0,0.82804227,0.05606605,0
LS,0,0.95807123,0.050846502,0
MH,0.375,0.90315616,0.5515163,0.3
MYA,0.30769232,0.9779202,0.47173202,0.22222222
NORMAL,0.625,0.8974255,0.72446996,0.93333334
ODC,0.24,0.84015644,0.31124762,0.23076923
ODE,0,0.95305467,0.6299928,0
ODP,0,0.552935,0.014205257,0
OTHER,0.31034482,0.74182427,0.3818859,0.29032257
RS,0.5,0.93290734,0.4839242,0.375
TSLN,0.4375,0.8964635,0.38971272,0.5
